A,B,C,D,Volume,Height,H2
10.00,-48.00,3.00,1.00,10.162191,1924.883434,2.289495
0.00,-45.00,3.00,1.00,9.640832,2340.401235,4.276794
1.00,-45.00,3.00,1.00,9.477827,1761.961387,2.205252
2.00,-45.00,3.00,1.00,9.951887,2006.782840,2.695473
3.00,-45.00,3.00,1.00,10.174183,1621.398595,2.070107
4.00,-45.00,3.00,1.00,9.259720,2054.678676,2.431692
5.00,-45.00,3.00,1.00,9.369367,2087.273677,2.660190
6.00,-45.00,3.00,1.00,9.518422,1859.218407,2.312155
7.00,-45.00,3.00,1.00,9.400740,1776.973780,2.221656
8.00,-45.00,3.00,1.00,10.345215,1834.318962,2.294665
9.00,-45.00,3.00,1.00,10.079031,1546.096353,1.974508
10.00,-45.00,3.00,1.00,10.006845,2052.748250,2.418225
0.00,-42.00,3.00,1.00,9.676148,2503.062584,4.456654
1.00,-42.00,3.00,1.00,9.413247,1889.337900,2.333858
2.00,-42.00,3.00,1.00,9.745041,2147.983360,2.838942
3.00,-42.00,3.00,1.00,10.082976,1736.823670,2.186730
4.00,-42.00,3.00,1.00,9.211143,2199.582502,2.577582
5.00,-42.00,3.00,1.00,9.361615,2233.593548,2.807616
6.00,-42.00,3.00,1.00,9.491258,1994.270897,2.448915
7.00,-42.00,3.00,1.00,9.356161,1904.030152,2.350128
8.00,-42.00,3.00,1.00,9.461182,1794.960926,2.208285
9.00,-42.00,3.00,1.00,9.896166,1657.445159,2.088403
10.00,-42.00,3.00,1.00,9.849363,2198.721416,2.565240
0.00,-39.00,3.00,1.00,9.510183,2689.905490,4.662045
3.00,-39.00,3.00,1.00,10.127018,1873.083692,2.324603
4.00,-39.00,3.00,1.00,9.171785,2366.392616,2.745579
5.00,-39.00,3.00,1.00,9.242905,2401.768938,2.977126
6.00,-39.00,3.00,1.00,9.551821,2150.231792,2.606846
7.00,-39.00,3.00,1.00,9.269597,2050.557446,2.498312
8.00,-39.00,3.00,1.00,10.677956,2168.310515,2.658721
9.00,-39.00,3.00,1.00,9.766421,1782.001360,2.214164
10.00,-39.00,3.00,1.00,9.815685,2366.919035,2.734679
0.00,-36.00,3.00,1.00,9.575081,2906.495308,4.898822
1.00,-36.00,3.00,1.00,9.385993,2207.695208,2.655441
2.00,-36.00,3.00,1.00,9.643929,2500.290035,3.197471
3.00,-36.00,3.00,1.00,9.884570,2023.864996,2.476879
4.00,-36.00,3.00,1.00,9.128553,2561.003972,2.941581
5.00,-36.00,3.00,1.00,9.309892,2594.341544,3.171159
7.00,-36.00,3.00,1.00,9.271177,2221.367420,2.671080
8.00,-36.00,3.00,1.00,9.409074,2088.105966,2.504152
9.00,-36.00,3.00,1.00,9.931427,1933.541427,2.371114
10.00,-36.00,3.00,1.00,9.673595,2562.853632,2.932113
0.00,-33.00,3.00,1.00,9.402308,3160.529017,5.175073
1.00,-33.00,3.00,1.00,9.355177,2409.973912,2.859876
2.00,-33.00,3.00,1.00,9.549096,2522.167273,3.180942
3.00,-33.00,3.00,1.00,9.787720,2205.128551,2.660187
4.00,-33.00,3.00,1.00,9.090872,2790.531453,3.172962
5.00,-33.00,3.00,1.00,9.206272,2825.829655,3.405413
6.00,-33.00,3.00,1.00,9.512852,2547.446962,3.009060
7.00,-33.00,3.00,1.00,9.264641,2423.011994,2.875057
8.00,-33.00,3.00,1.00,9.315001,2273.351672,2.691243
9.00,-33.00,3.00,1.00,9.648047,2096.315648,2.531747
10.00,-33.00,3.00,1.00,9.632802,2793.999440,3.165090
0.00,-30.00,3.00,1.00,9.584071,3462.788834,5.501655
1.00,-30.00,3.00,1.00,9.137897,2652.157023,3.104743
2.00,-30.00,3.00,1.00,9.514432,2988.619790,3.695608
3.00,-30.00,3.00,1.00,9.641871,2418.812847,2.874249
4.00,-30.00,3.00,1.00,9.050910,3065.300784,3.449972
5.00,-30.00,3.00,1.00,9.226818,3100.763804,3.682283
6.00,-30.00,3.00,1.00,9.406001,2805.379156,3.270220
7.00,-30.00,3.00,1.00,9.366023,2664.534160,3.119396
8.00,-30.00,3.00,1.00,9.241813,2494.228736,2.914434
9.00,-30.00,3.00,1.00,9.607821,2298.489330,2.736183
10.00,-30.00,3.00,1.00,9.554835,3071.180986,3.444568
0.00,-60.00,4.00,1.00,9.546701,1654.269571,3.158288
1.00,-60.00,4.00,1.00,9.449961,1164.192729,1.527550
0.00,-60.00,2.00,2.00,10.081133,1670.789119,2.857892
1.00,-60.00,2.00,2.00,11.529036,1366.937627,2.121592
2.00,-60.00,2.00,2.00,10.559495,1458.834125,1.992512
3.00,-60.00,2.00,2.00,12.048369,1517.969424,2.031605
4.00,-60.00,2.00,2.00,9.650234,1385.004848,1.706895
5.00,-60.00,2.00,2.00,9.993310,1471.990993,1.924847
6.00,-60.00,2.00,2.00,7.679936,1518.970500,1.959269
7.00,-60.00,2.00,2.00,10.521841,1507.055631,1.944949
8.00,-60.00,2.00,2.00,10.733921,1255.960078,1.802608
9.00,-60.00,2.00,2.00,11.195035,1467.730021,1.956268
10.00,-60.00,2.00,2.00,10.000057,1409.012372,1.727893
0.00,-57.00,2.00,2.00,10.019071,1757.618933,2.947079
1.00,-57.00,2.00,2.00,11.149124,1437.753947,2.193346
2.00,-57.00,2.00,2.00,10.460889,1534.587882,2.068901
3.00,-57.00,2.00,2.00,12.044233,1596.971271,2.111199
4.00,-57.00,2.00,2.00,10.073680,1464.930082,1.786960
5.00,-57.00,2.00,2.00,9.948552,1549.021009,2.002410
6.00,-57.00,2.00,2.00,10.783650,1598.522790,2.039284
7.00,-57.00,2.00,2.00,10.597194,1585.894657,2.024262
8.00,-57.00,2.00,2.00,10.688421,1321.041114,1.868053
9.00,-57.00,2.00,2.00,11.048495,1544.587150,2.033760
10.00,-57.00,2.00,2.00,9.902161,1482.768272,1.802129
0.00,-54.00,2.00,2.00,9.914805,1853.912119,3.046030
1.00,-54.00,2.00,2.00,11.199856,1516.246332,2.272924
2.00,-54.00,2.00,2.00,10.383830,1618.607895,2.153663
3.00,-54.00,2.00,2.00,11.663217,1684.630640,2.199545
