FileName,Clean_Comp_MPa,Clean_Tens_MPa,Max_Disp_mm,Phi_Comp,Gamma_Allie,Omega_Stiff,ALLIE,SEI_J_Index
job_A1_00_B_42_00_C2_00_D1_00.odb,-10.079,2.093,9.761,0.1621,0.2046,3.6666,1558.1404,1.331
job_A1_00_B_42_00_C2_00_D2_00.odb,-5.624,1.076,3.743,0.1643,0.386,9.3152,825.9217,3.2556
job_A1_00_B_42_00_C2_00_D3_00.odb,-7.656,1.224,8.198,0.1703,0.2411,4.1712,1322.0923,1.5123
job_A1_00_B_42_00_C2_00_D4_00.odb,-9.052,1.66,9.181,0.1659,0.2102,3.8544,1516.4572,1.3961
job_A1_00_B_45_00_C2_00_D1_00.odb,-8.501,1.248,9.542,0.1712,0.2106,3.6114,1513.3729,1.3178
job_A1_00_B_45_00_C2_00_D2_00.odb,-5.222,1.071,4.038,0.1604,0.3992,8.3332,798.5288,2.9346
job_A1_00_B_45_00_C2_00_D3_00.odb,-7.253,1.226,7.876,0.1684,0.247,4.2504,1290.6536,1.5397
job_A1_00_B_45_00_C2_00_D4_00.odb,-8.244,1.691,8.941,0.1752,0.219,3.7518,1455.4066,1.3682
job_A1_00_B_48_00_C2_00_D1_00.odb,-7.231,1.971,9.143,0.1712,0.2229,3.5693,1430.0183,1.3079
job_A1_00_B_48_00_C2_00_D2_00.odb,-7.0,1.102,4.179,0.1554,0.3438,8.3325,927.127,2.9145
job_A1_00_B_48_00_C2_00_D3_00.odb,-7.481,1.307,7.952,0.1712,0.2407,4.1754,1324.2402,1.5138
job_A1_00_B_48_00_C2_00_D4_00.odb,-7.763,1.533,9.037,0.1826,0.2151,3.6155,1481.8181,1.3244
job_A1_00_B_51_00_C2_00_D1_00.odb,-7.504,1.932,9.218,0.1661,0.2164,3.5298,1473.1057,1.2911
job_A1_00_B_51_00_C2_00_D2_00.odb,-4.561,1.071,3.7,0.1534,0.4364,8.6835,730.5075,3.0602
job_A1_00_B_51_00_C2_00_D3_00.odb,-6.083,1.179,7.415,0.1711,0.2606,4.304,1223.2761,1.5628
job_A1_00_B_51_00_C2_00_D4_00.odb,-8.346,1.586,9.312,0.1753,0.2042,3.5632,1560.9468,1.3011
job_A1_00_B_54_00_C2_00_D1_00.odb,-7.268,1.226,9.158,0.1657,0.2152,3.5094,1481.5122,1.2838
job_A1_00_B_54_00_C2_00_D3_00.odb,-6.212,1.19,7.635,0.1713,0.247,4.1574,1290.3514,1.51
job_A1_00_B_54_00_C2_00_D4_00.odb,-9.61,1.668,9.742,0.1766,0.1868,3.4458,1706.514,1.257
job_A1_00_B_57_00_C2_00_D1_00.odb,-7.262,1.247,9.244,0.1663,0.21,3.4464,1517.8746,1.2615
