FileName,Clean_Comp_MPa,Clean_Tens_MPa,Max_Disp_mm,Phi_Comp,Gamma_Allie,Omega_Stiff,ALLIE,SEI_J_Index
job_A4_00_B_48_00_C2_00_D3_00.odb,-8.442,1.484,7.23,0.3396,0.2192,4.9889,1454.1198,1.8307
job_A4_00_B_51_00_C2_00_D1_00.odb,-11.83,1.367,6.579,0.3203,0.2187,5.4842,1457.8705,1.9876
job_A4_00_B_51_00_C2_00_D3_00.odb,-7.736,1.424,6.781,0.3426,0.2347,5.2268,1358.5353,1.9153
job_A4_00_B_54_00_C2_00_D1_00.odb,-11.458,1.434,6.414,0.322,0.2158,5.5763,1476.9271,2.0177
job_A4_00_B_54_00_C2_00_D3_00.odb,-7.568,1.456,6.633,0.343,0.222,5.3075,1436.1886,1.9379
job_A4_00_B_57_00_C2_00_D1_00.odb,-11.226,1.423,6.225,0.327,0.2146,5.678,1485.4176,2.0525
job_A4_00_B_57_00_C2_00_D3_00.odb,-7.145,1.433,6.327,0.3469,0.2212,5.4935,1440.8977,2.0003
job_A4_00_B_60_00_C2_00_D1_00.odb,-10.876,1.45,6.749,0.3333,0.2099,5.2135,1518.4944,1.8997
job_A5_00_B_30_00_C2_00_D1_00.odb,-13.121,1.184,6.814,0.3359,0.2262,5.5879,1409.5315,2.0295
job_A5_00_B_30_00_C2_00_D2_00.odb,-7.176,0.85,4.22,0.3527,0.314,8.9452,1015.1182,3.1719
job_A5_00_B_30_00_C2_00_D3_00.odb,-10.783,1.068,6.71,0.3154,0.2533,5.7187,1258.7299,2.0748
job_A5_00_B_30_00_C3_00_D1_00.odb,-13.144,1.145,6.316,0.3334,0.2302,6.1158,1384.822,2.2042
job_A5_00_B_30_00_C3_00_D3_00.odb,-9.409,1.585,5.52,0.3381,0.2367,7.1712,1346.6277,2.5562
job_A5_00_B_33_00_C2_00_D1_00.odb,-13.356,1.191,7.391,0.3401,0.2252,5.1133,1415.7539,1.8739
job_A5_00_B_33_00_C2_00_D2_00.odb,-7.82,0.932,4.643,0.3441,0.2892,8.1092,1102.2371,2.885
job_A5_00_B_33_00_C2_00_D3_00.odb,-9.579,1.086,6.302,0.318,0.2593,6.0368,1229.59,2.1826
job_A5_00_B_36_00_C2_00_D1_00.odb,-12.98,1.208,7.04,0.3375,0.2121,5.3401,1502.8623,1.9436
job_A5_00_B_36_00_C2_00_D3_00.odb,-10.674,1.121,6.674,0.3099,0.233,5.6574,1367.9902,2.0461
job_A5_00_B_36_00_C3_00_D2_00.odb,-0.003,0.0,0.0,1.0,958473.6213,8761341.7673,0.0003,3207539.4083
job_A5_00_B_39_00_C2_00_D1_00.odb,-11.965,1.15,6.637,0.3376,0.229,5.4936,1392.1604,1.9998
job_A5_00_B_39_00_C2_00_D2_00.odb,-6.34,0.941,4.643,0.3291,0.2686,8.001,1186.864,2.8376
job_A5_00_B_39_00_C2_00_D3_00.odb,-8.898,1.214,5.777,0.3277,0.2466,6.4605,1292.8083,2.3215
job_A5_00_B_39_00_C3_00_D1_00.odb,-13.433,1.241,7.239,0.336,0.1774,5.3268,1796.9117,1.9273
job_A5_00_B_39_00_C3_00_D2_00.odb,-0.003,0.0,0.0,1.0,958481.0022,8761409.148,0.0003,3207564.0796
job_A5_00_B_42_00_C2_00_D1_00.odb,-13.423,1.255,7.75,0.3288,0.1972,4.7616,1616.5176,1.7449
job_A5_00_B_42_00_C2_00_D2_00.odb,-6.601,1.0,4.869,0.3258,0.2743,7.5095,1162.0188,2.6762
job_A5_00_B_42_00_C2_00_D3_00.odb,-8.645,1.255,6.205,0.3252,0.2216,5.9882,1438.319,2.1566
job_A5_00_B_42_00_C2_00_D4_00.odb,-14.794,1.547,7.021,0.3729,0.1818,5.3432,1753.2697,1.9463
job_A5_00_B_42_00_C3_00_D1_00.odb,-12.59,1.502,7.536,0.3367,0.1882,5.0528,1694.2446,1.8406
job_A5_00_B_42_00_C3_00_D2_00.odb,-0.003,0.0,0.0,1.0,958465.0665,8761263.1898,0.0003,3207510.6545
job_A5_00_B_45_00_C2_00_D1_00.odb,-11.326,1.257,7.437,0.3246,0.1896,4.8739,1681.4104,1.7781
job_A5_00_B_45_00_C2_00_D2_00.odb,-5.743,0.977,5.021,0.3143,0.2424,7.3016,1315.3713,2.5932
job_A5_00_B_45_00_C2_00_D3_00.odb,-7.999,1.229,6.207,0.3229,0.2162,5.9108,1474.3424,2.1285
job_A5_00_B_45_00_C2_00_D4_00.odb,-15.666,1.67,8.848,0.3755,0.1678,4.2641,1899.5757,1.5864
job_A5_00_B_45_00_C3_00_D1_00.odb,-12.706,1.563,7.723,0.334,0.1755,4.9262,1816.3251,1.7938
job_A5_00_B_45_00_C3_00_D2_00.odb,-0.003,0.0,0.0,1.0,958473.6213,8761341.7689,0.0003,3207539.4088
job_A5_00_B_48_00_C2_00_D1_00.odb,-11.304,1.251,7.69,0.3312,0.1812,4.7078,1759.4958,1.7227
job_A5_00_B_48_00_C2_00_D3_00.odb,-7.132,1.296,6.577,0.3461,0.2039,5.5738,1563.3032,2.0208
job_A5_00_B_48_00_C2_00_D4_00.odb,-14.736,1.841,8.532,0.3746,0.1688,4.4025,1888.7023,1.6322
job_A5_00_B_48_00_C3_00_D2_00.odb,-0.003,0.0,0.0,1.0,958471.6923,8761323.7586,0.0003,3207532.8288
job_A5_00_B_51_00_C2_00_D1_00.odb,-10.804,1.229,7.268,0.3427,0.1888,4.8905,1688.3484,1.7892
job_A5_00_B_51_00_C2_00_D3_00.odb,-0.003,0.0,0.0,1.0,958473.6213,8761341.7692,0.0003,3207539.4089
job_A5_00_B_51_00_C2_00_D4_00.odb,-12.675,1.861,6.813,0.3798,0.1815,5.4531,1756.0234,1.9848
job_A5_00_B_51_00_C3_00_D1_00.odb,-11.696,1.785,7.906,0.3371,0.1727,4.7273,1845.6158,1.7282
job_A5_00_B_51_00_C3_00_D2_00.odb,-0.003,0.0,0.0,1.0,958467.1632,8761283.4978,0.0003,3207518.0481
job_A5_00_B_54_00_C2_00_D1_00.odb,-11.335,1.326,7.499,0.3252,0.1775,4.7816,1796.2872,1.7438
job_A5_00_B_54_00_C2_00_D3_00.odb,-6.414,1.389,7.04,0.3295,0.1928,5.1266,1653.0398,1.8641
job_A5_00_B_54_00_C2_00_D4_00.odb,-12.328,1.983,6.742,0.3817,0.1814,5.443,1756.993,1.982
job_A5_00_B_54_00_C3_00_D1_00.odb,-11.609,1.869,7.948,0.3389,0.1696,4.6544,1880.0352,1.7038
job_A5_00_B_54_00_C3_00_D2_00.odb,-0.003,0.0,0.0,1.0,958473.6213,8761341.7689,0.0003,3207539.4088
job_A5_00_B_57_00_C2_00_D1_00.odb,-11.185,1.346,8.113,0.3314,0.1665,4.4228,1914.9785,1.6238
job_A5_00_B_57_00_C2_00_D3_00.odb,-5.628,1.475,6.405,0.3382,0.2055,5.5303,1551.1998,2.0044
job_A5_00_B_57_00_C2_00_D4_00.odb,-11.796,1.878,7.911,0.3711,0.1794,4.5787,1777.1115,1.6926
job_A5_00_B_57_00_C3_00_D1_00.odb,-10.254,2.015,7.6,0.348,0.1887,4.7396,1689.3601,1.7412
job_A5_00_B_57_00_C3_00_D2_00.odb,-0.003,0.0,0.0,1.0,958477.9827,8761381.4605,0.0003,3207553.9463
job_A5_00_B_57_00_C3_00_D3_00.odb,-0.003,0.0,0.0,1.0,958473.6213,8761341.7689,0.0003,3207539.4088
job_A5_00_B_60_00_C2_00_D1_00.odb,-10.508,1.365,7.639,0.341,0.169,4.6379,1885.8167,1.6988
job_A5_00_B_60_00_C2_00_D3_00.odb,-5.47,1.567,6.726,0.3338,0.2051,5.2512,1554.0522,1.9107
job_A5_00_B_60_00_C2_00_D4_00.odb,-13.431,2.212,10.243,0.3553,0.1583,3.5768,2013.3119,1.3498
job_A5_00_B_60_00_C3_00_D1_00.odb,-11.062,1.973,7.921,0.3457,0.1798,4.5027,1773.3895,1.6593
job_A5_00_B_60_00_C3_00_D3_00.odb,-0.003,0.0,0.0,1.0,958473.6213,8761341.7689,0.0003,3207539.4088
job_A6_00_B_30_00_C2_00_D2_00.odb,-7.733,0.756,4.318,0.418,0.3771,8.4961,845.29,3.0661
job_A6_00_B_33_00_C2_00_D1_00.odb,-13.16,0.917,6.225,0.441,0.2654,5.8308,1201.3492,2.1573
job_A6_00_B_33_00_C2_00_D3_00.odb,-8.109,1.001,4.771,0.4131,0.3344,7.4248,953.2398,2.6969
job_A6_00_B_33_00_C3_00_D2_00.odb,-0.003,0.0,0.0,1.0,958465.0665,8761263.4398,0.0003,3207510.7371
job_A6_00_B_36_00_C2_00_D1_00.odb,-11.927,0.913,5.897,0.4462,0.274,5.9986,1163.3085,2.2172
job_A6_00_B_36_00_C2_00_D2_00.odb,-6.76,0.678,3.966,0.4147,0.3665,8.9863,869.7539,3.2233
job_A6_00_B_36_00_C2_00_D3_00.odb,-7.875,1.084,4.61,0.4092,0.3267,7.5863,975.8963,2.7463
job_A6_00_B_36_00_C2_00_D4_00.odb,-12.547,1.042,4.815,0.4141,0.262,7.2953,1216.7953,2.6306
job_A6_00_B_36_00_C3_00_D2_00.odb,-0.003,0.0,0.0,1.0,958471.6923,8761323.7477,0.0003,3207532.8252
job_A6_00_B_39_00_C2_00_D1_00.odb,-12.631,0.92,6.319,0.4565,0.2468,5.5649,1291.4725,2.0685
job_A6_00_B_39_00_C3_00_D2_00.odb,-0.003,0.0,0.0,1.0,958476.8924,8761371.2774,0.0003,3207550.226
job_A6_00_B_42_00_C2_00_D1_00.odb,-12.546,0.908,6.387,0.4672,0.2395,5.3743,1330.9385,2.0067
job_A6_00_B_42_00_C2_00_D3_00.odb,-6.938,1.083,4.319,0.4253,0.3346,7.7763,952.7489,2.8169
job_A6_00_B_42_00_C3_00_D2_00.odb,-0.003,0.0,0.0,1.0,958474.1246,8761346.4796,0.0003,3207541.1294
job_A6_00_B_45_00_C2_00_D1_00.odb,-10.975,0.906,6.175,0.4641,0.2404,5.455,1325.9979,2.0326
job_A6_00_B_45_00_C2_00_D3_00.odb,-6.108,0.962,4.171,0.4343,0.3432,7.8351,928.8343,2.8422
job_A6_00_B_45_00_C3_00_D2_00.odb,-0.003,0.0,0.0,1.0,958473.7052,8761342.561,0.0003,3207539.6979
job_A6_00_B_48_00_C2_00_D1_00.odb,-11.302,0.916,6.22,0.4716,0.2362,5.3134,1349.5121,1.987
job_A6_00_B_48_00_C3_00_D2_00.odb,-0.003,0.0,0.0,1.0,958469.5116,8761303.9137,0.0003,3207525.5603
job_A6_00_B_51_00_C2_00_D1_00.odb,-10.985,0.933,6.269,0.473,0.2305,5.2162,1383.0356,1.9535
job_A6_00_B_51_00_C2_00_D2_00.odb,-0.003,0.0,0.0,1.0,958473.6213,8761341.7688,0.0003,3207539.4088
job_A6_00_B_51_00_C3_00_D2_00.odb,-0.003,0.0,0.0,1.0,958473.6213,8761341.7692,0.0003,3207539.4089
job_A6_00_B_54_00_C3_00_D2_00.odb,-0.003,0.0,0.0,1.0,958476.8924,8761372.2845,0.0003,3207550.5584
job_A6_00_B_54_00_C3_00_D3_00.odb,-0.003,0.0,0.0,1.0,958473.6213,8761341.771,0.0003,3207539.4095
job_A6_00_B_57_00_C3_00_D2_00.odb,-0.003,0.0,0.0,1.0,958473.6213,8761341.7692,0.0003,3207539.4089
job_A6_00_B_57_00_C3_00_D3_00.odb,-0.003,0.0,0.0,1.0,958473.6213,8761341.7683,0.0003,3207539.4086
job_A6_00_B_60_00_C2_00_D2_00.odb,-0.003,0.0,0.0,1.0,958481.5893,8761414.62,0.0003,3207566.0791
job_A6_00_B_60_00_C3_00_D3_00.odb,-0.003,0.0,0.0,1.0,958473.6213,8761341.7691,0.0003,3207539.4088
job_A7_00_B_30_00_C2_00_D1_00.odb,-11.755,0.741,5.655,0.3585,0.2838,6.4335,1123.3467,2.335
job_A7_00_B_33_00_C3_00_D2_00.odb,-0.003,0.0,0.0,1.0,958473.6213,8761341.7652,0.0003,3207539.4076
job_A7_00_B_36_00_C3_00_D2_00.odb,-0.003,0.0,0.0,1.0,958480.4151,8761403.9232,0.0003,3207562.1616
job_A7_00_B_39_00_C3_00_D2_00.odb,-0.003,0.0,0.0,1.0,958483.2668,8761429.7711,0.0003,3207571.6325
job_A7_00_B_42_00_C3_00_D2_00.odb,-0.003,0.0,0.0,1.0,958481.1699,8761410.4471,0.0003,3207564.5636
job_A7_00_B_45_00_C3_00_D2_00.odb,-0.003,0.0,0.0,1.0,958473.6213,8761341.769,0.0003,3207539.4088
job_A7_00_B_48_00_C3_00_D2_00.odb,-0.003,0.0,0.0,1.0,958478.3182,8761384.336,0.0003,3207555.0059
job_A9_00_B_30_00_C2_00_D1_00.odb,-6.362,0.711,4.014,0.3967,0.514,8.9392,620.1587,3.2505
job_A9_00_B_30_00_C2_00_D3_00.odb,-7.023,1.076,5.101,0.3825,0.3602,7.2428,884.8909,2.6352
job_A9_00_B_30_00_C2_00_D4_00.odb,-4.535,0.646,2.604,0.3991,0.5907,13.0796,539.6408,4.6429
