Category,A,B,C,Volume,vol_reduce(%),Clean_Comp_MPa,Clean_Tens_MPa,Max_Disp_mm,Phi_Comp,Gamma_Allie,Omega_Stiff,ALLIE,SEI_J_Index,Phi_Comp_Norm,Gamma_Allie_Norm,Omega_Stiff_Norm,vol_reduce(%)_Norm,SEI_J_Index_Rigorous,SEI_Score_100
S,1.0,52.0,0.0,11.964486,31.63,-4.596,1.763,5.031,0.1588,0.5865,5.9217,543.5513,2.2001,0.0905,0.305,0.106,0.9137,0.4032,40.32
S,1.0,52.0,0.0,13.083438,25.24,-4.596,1.763,5.031,0.1588,0.5865,5.4152,543.5513,2.033,0.0905,0.305,0.0793,0.7659,0.3495,34.95
S,1.0,52.0,5.0,12.249482,30.0,-7.775,2.023,5.946,0.164,0.4355,4.8939,731.9399,1.8128,0.1225,0.135,0.0518,0.876,0.364,36.4
S,1.0,52.0,10.0,13.083438,25.24,-4.595,1.75,5.032,0.1586,0.5863,5.4142,543.6985,2.0325,0.0892,0.3048,0.0792,0.7659,0.349,34.9
S,1.0,52.0,15.0,13.08324,25.24,-4.614,1.778,5.034,0.1586,0.5865,5.4121,543.5441,2.0319,0.0892,0.305,0.0791,0.7659,0.349,34.9
S,1.0,52.0,20.0,13.08324,25.24,-4.6,1.761,5.033,0.1584,0.5863,5.4132,543.7526,2.0321,0.088,0.3048,0.0792,0.7659,0.3486,34.86
S,1.0,56.0,0.0,11.909526,31.95,-4.411,1.807,5.045,0.1571,0.5804,5.9325,549.2405,2.2011,0.08,0.2982,0.1065,0.9211,0.4012,40.12
S,1.0,56.0,0.0,13.073033,25.3,-4.411,1.807,5.045,0.1571,0.5804,5.4045,549.2405,2.0269,0.08,0.2982,0.0787,0.7673,0.3452,34.52
S,1.0,56.0,5.0,12.279161,29.83,-6.81,2.024,6.341,0.1532,0.4381,4.5779,727.6976,1.7058,0.056,0.1379,0.0351,0.8721,0.3382,33.82
S,1.0,56.0,10.0,12.94812,26.01,-4.509,1.914,5.39,0.1612,0.5523,5.1074,577.1646,1.9209,0.1052,0.2665,0.063,0.7837,0.3512,35.12
S,1.0,56.0,15.0,12.94812,26.01,-4.544,1.913,5.385,0.161,0.5525,5.1121,576.9772,1.9224,0.104,0.2667,0.0633,0.7837,0.3509,35.09
S,1.0,56.0,20.0,13.073033,25.3,-4.441,1.813,5.046,0.1579,0.5801,5.4034,549.4905,2.0267,0.0849,0.2978,0.0786,0.7673,0.3468,34.68
S,1.0,60.0,0.0,11.93656,31.79,-4.597,1.783,5.229,0.1578,0.5608,5.7108,568.4258,2.1217,0.0843,0.2761,0.0949,0.9174,0.3957,39.57
S,1.0,60.0,0.0,13.05673,25.39,-4.597,1.783,5.229,0.1578,0.5608,5.2209,568.4258,1.96,0.0843,0.2761,0.069,0.7694,0.3421,34.21
S,1.0,60.0,5.0,12.630672,27.82,-5.523,1.901,5.601,0.1527,0.4985,5.0385,639.4749,1.8776,0.0529,0.2059,0.0594,0.8256,0.337,33.7
S,1.0,60.0,10.0,13.111514,25.08,-4.368,1.772,5.024,0.1604,0.5769,5.4112,552.5463,2.029,0.1003,0.2942,0.0791,0.7622,0.3497,34.97
S,1.0,60.0,15.0,13.147922,24.87,-4.324,1.752,5.02,0.1598,0.5807,5.4005,548.9349,2.0265,0.0966,0.2985,0.0785,0.7573,0.3475,34.75
S,1.0,60.0,20.0,13.111514,25.08,-4.371,1.764,5.022,0.16,0.577,5.4133,552.4366,2.0296,0.0978,0.2943,0.0792,0.7622,0.3489,34.89
S,1.0,64.0,0.0,11.92835,31.84,-4.675,1.882,5.357,0.1612,0.5464,5.5782,583.446,2.0743,0.1052,0.2599,0.0879,0.9186,0.3992,39.92
S,1.0,64.0,0.0,13.049488,25.43,-4.675,1.882,5.357,0.1612,0.5464,5.0989,583.446,1.9161,0.1052,0.2599,0.0626,0.7703,0.3456,34.56
S,1.0,64.0,5.0,12.481732,28.68,-6.296,2.103,6.554,0.1522,0.4363,4.3573,730.5787,1.6321,0.0498,0.1359,0.0235,0.8455,0.325,32.5
S,1.0,64.0,10.0,13.140367,24.91,-4.723,1.849,5.182,0.1579,0.5543,5.2347,575.1125,1.9625,0.0849,0.2688,0.0698,0.7583,0.3375,33.75
S,1.0,64.0,15.0,13.162217,24.79,-4.621,1.809,5.106,0.1579,0.5627,5.3038,566.5339,1.9881,0.0849,0.2782,0.0734,0.7555,0.3387,33.87
